name,pharmacy_number,city,address,phone,opening_hours
"Новамедика №28","28","Слобода","ул. Машерова, д. 7А-141","+375177662079","Пн-Пт 9.00-20.00; Сб 10.00-18.00; Вс 9.00-15.00"
"Новамедика №29","29","Могилев","пр. Димитрова, д. 63А","+375292315644","Пн-Пт 9.00-20.00; Сб 10.00-19.00; Вс 10.00-18.00"
"Новамедика №30","30","Ивенец","ул. Заслонова, д. 2Б","+375177267647","Пн-Пт 9.30-19.30; Сб-Вс 9.30-18.30"
"Новамедика №31","31","Марьина Горка","ул. Андреевская, д. 20-12, пом. 12-39","+375171347150","Вт-Сб 10.00-18.00; Пн - выходной"
"Новамедика №32","32","Полоцк","ул. Невельская, д. 61-92","+375214740017","Пн-Пт 9.00-17.00; Сб/Вс - выходной"
"Новамедика №33","33","Семково","ул. Центральная, д. 1А, пом. 25-28","+375175119531","Пн-Пт 10.00-19.00; Сб-Вс 10.00-18.00"
"Новамедика №34","34","Лошаны","ул. Минская, д. 3, пом. 16-20","+375175110244","Пн-Сб 9.00-18.00; Вс - выходной"
"Новамедика №35","35","Барановичи","ул. Зои Космодемьянской, д. 43А, пом. 3","+375163660524","Пн-Пт 9.00-21.00; Сб-Вс 9.00-18.00"
"Новамедика №36","36","Барановичи","ул. Гаевая, д. 50, пом. 3-5","+375163639378","Пн-Пт 9.00-21.00; Сб-Вс 10.00-18.00"
"Новамедика №37","37","Дзержинск","ул. Пераможцев, 1Б-1","+375171648967","Пн-Пт 9.00-21.00; Сб-Вс 10.00-20.00"
"Новамедика №39","39","Тарасово","д. Тарасово, д. 117 (МЦ Эмбрио","+375175083371","Пн-Пт 9.00-17.00; Сб/Вс - выходной"
"Новамедика №40","40","Сеница-Копиевичи","д. 84 (ТЦ Сеница","+375172216442","Пн-Суб 10:00 - 20:00"
"Новамедика №41","41","Шклов","ул. Молодежная , д. 1В","+375175083371","Пн-Вс 09:30 - 18:00"
"ЭКЛИНИЯ №2","2","Минск","ул. Волоха, д. 12","+37517318-14-54","Пн-Суб 10:00-19:00; Вс - выходной"
"ЭКЛИНИЯ №3","3","Минск","ул. Филимонова, 53","+37517385-90-60; +37517319-82-61","Пн-Пт 09:00-17:00; Сб/Вс - выходной"
"ЭКЛИНИЯ №4","4","Минск","ул. Ландера, 38","+37517337-06-14","Пн-Пт 09:00-20:00; Сб 10:00-18:00; Вс 10:00-17:00"
"ЭКЛИНИЯ №5","5","Минск","ул. Мазурова, д. 2","+37517379-75-99; +37517379-36-25","Пн-Пт 09:00-21:00; Сб-Вс 09:00-18:00"
